epoch	acc	loss	val_acc	val_loss
0	0.319272702	1.786917285	0.382139881	1.694898116
1	0.434881048	1.5089905	0.442741722	1.561443343
2	0.479257376	1.391629106	0.433546959	1.622346823
3	0.504162458	1.327749067	0.488854846	1.396552334
4	0.517816713	1.282972733	0.424352197	1.541710283
5	0.531470967	1.24772218	0.511145178	1.287138382
6	0.541537497	1.222545944	0.519364738	1.263642072
7	0.552440001	1.198887179	0.50877683	1.328580223
8	0.559023303	1.178595231	0.560880481	1.171828011
9	0.562436866	1.162445217	0.495263316	1.376100708
10	0.568010032	1.155060342	0.556701043	1.182275117
11	0.572747222	1.140045802	0.537893576	1.230919763
12	0.583231739	1.126146123	0.561994998	1.176087638
13	0.58155979	1.11347066	0.571329074	1.153214551
14	0.587237452	1.111676649	0.555029269	1.208407991
15	0.589640879	1.098910666	0.584146015	1.119634944
16	0.593576927	1.090671641	0.569100041	1.142955765
17	0.593890418	1.084348995	0.570771815	1.139999243
18	0.598418614	1.074307816	0.602117595	1.081377512
19	0.600926539	1.064892263	0.553218179	1.189038526
20	0.60507158	1.065660045	0.591529687	1.092315974
21	0.603469295	1.055239506	0.589997226	1.096803813
22	0.608589641	1.049369171	0.608526065	1.065297388
23	0.60918179	1.042786952	0.582613554	1.135566932
24	0.610296423	1.035989881	0.602256909	1.071457113
25	0.618377512	1.028273161	0.573140163	1.140800247
26	0.617506705	1.026764927	0.591808316	1.105555213
27	0.620397785	1.027613719	0.593480091	1.080344555
28	0.620955101	1.017264469	0.58553916	1.118691277
29	0.619666307	1.014465296	0.586375048	1.116536493
30	0.625065311	1.01208156	0.599609932	1.087787214
31	0.629105855	1.000965294	0.56450266	1.181208359
32	0.627468738	1.003640122	0.601281707	1.100804303
33	0.628235048	1.000671992	0.586932306	1.109796883
34	0.626841757	0.997472194	0.584981902	1.126194155
35	0.64885576	0.946536202	0.628865993	1.01074572
36	0.655508725	0.932780258	0.629980509	1.005340832
37	0.655822216	0.922251949	0.629144622	1.013549354
38	0.65833014	0.916671052	0.633324059	1.008723944
39	0.663763976	0.915039957	0.629423251	1.004159563
40	0.660106587	0.911117787	0.628865992	1.004259419
41	0.663311157	0.906265317	0.630955711	1.005048263
42	0.663833641	0.903198182	0.628308734	1.003070959
43	0.666167404	0.904095954	0.628726678	1.006388964
